welding	Q131172
ladder	Q168639
Bolt	Q212792
washing machine	Q124441
nut	Q11009
hole puncher	Q183413
box column drill	Q20820500
tongs	Q3276479
blacksmith	Q1639825
train	Q870
welding equipment	Q1613682
hammer	Q25294
pliers	Q13049940
welder	Q836328
Clamp	Q334471
key	Q132041
machine press	Q674484
anvil	Q104363
pulley	Q48378
axle	Q188209
screwdriver	Q161071
milling machine	Q623106
gearbox	Q6497460
Bearings	Q16243277
drill bit	Q335283
carabiner	Q588395
circular saw	Q1141837
lathe	Q187833
padlock	Q40607
steel coil	Q1107164
printer	Q6500733
windmill	Q38720
drilling rig	Q12688575
torch	Q327954
Rotary table	Q3512781
saw	Q125356
screw head shape	Q96746126
spirit level	Q207988
pencil	Q14674
postage stamp	Q37930
Power drills to fenestrate exposed bone to stimulate wound healing	Q39101613
LED lamp	Q1553201
hand saw	Q2750929
Staples	Q2227729
fasteners	Q107380930
diagonal pliers	Q245934
exothermic welding	Q910714
grinding machine	Q245761
mortar and pestle	Q18341850
Door Lock	Q57567502
railway	Q22667
news media	Q1193236
Metal coil fabrication	Q123008860
Paperclips for ear lobule repair	Q80141659
laser cutter	Q124816652
honing steel	Q520049
machinist	Q196721
Vice Grip	Q26156693
hand tool	Q2578402
industrial robot	Q1128980
compact cassette	Q149757
Spirit levels	Q53366902
production facility	Q9386255
Sander	Q18670563
incandescent light bulb	Q47616
workbench	Q347690
rotary hammer	Q1932875
human	Q5
table saw	Q2365675
screw press	Q1414307
construction site	Q360418
physical container	Q987767
metal lathe	Q3681647
steam hammer	Q19767
Wikimedia Toolforge	Q36500248
Screws	Q36935835
chainsaw	Q208040
personal protective equipment	Q1333024
helmet	Q173603
door	Q36794
bandsaw	Q806378
sawing	Q3954248
Hooks	Q982654
Rivets	Q4395226
Archimedes' screw	Q189155
drill	Q58964
reamer	Q863835
lock	Q105731
locker	Q1195470
rail fastening system	Q1081004
screw	Q11022
turnstile	Q1146283
lockout-tagout	Q681384
scissors	Q40847
ruler	Q1097498
rope	Q31029
hoist	Q1411613
Pinking shears	Q3747917
blacksmith's tongs	Q98558226
duct tape	Q1030313
lathe center	Q2603338
window	Q35473
Nails	Q17325289
fountain	Q483453
factory	Q83405
Oxyacetylene torch testing and microstructural characterization of tantalum carbide.	Q46710505
oscilloscope	Q174320
soldering iron	Q623402
Hand Tools	Q50321273
glass engraver	Q18510097
excavator	Q182661
blacksmithing	Q11204681
ball bearing	Q11432170
cogwheel	Q143873
manhole cover	Q652657
T-Square	Q843852
pencil sharpener	Q193811
Tool spindle and machine tool including same	Q125141073
stump grinder	Q2036130
sawmill	Q505213
bolt cutter	Q1253857
tractor	Q39495
Resistance Welder Manufacturers' Association	Q122949879
wire	Q551997
